gid;versienr;kaartnr;datering;uitvoering;ulxw;ulyw;urxw;uryw;llxw;llyw;lrxw;lryw;ulxi;ulyi;urxi;uryi;llxi;llyi;lrxi;lryi;imgfn;breedte;hoogte;kleuren
120;120;G3;1943;Druk in zwart, blauw, groen en twee tinten bruin;-41150;19875;-38775;19875;-41150;18000;-38775;18000;389;9213;11578;9223;399;370;11592;394;B00000025376;12016;9561;zwart,blauw,groen,twee tinten bruin
141;141;G7;1943;Druk in zwart, blauw en groen. Geannoteerd;-31650;19875;-29275;19875;-31650;18000;-29275;18000;477;9301;11636;9260;459;465;11606;445;B00000025397;12092;9719;zwart,blauw,groen,twee tinten bruin
142;142;G8;1943;Druk in zwart en blauw;-29275;19875;-26900;19875;-29275;18000;-26900;18000;456;9263;11599;9233;439;430;11584;412;B00000025398;12052;9615;zwart,blauw
143;143;G8;1943;Druk in zwart, blauw, groen en twee tinten bruin;-29275;19875;-26900;19875;-29275;18000;-26900;18000;461;9274;11605;9270;458;440;11601;448;B00000025399;12055;9654;zwart,blauw,groen,twee tinten bruin
16;16;B5;1942-1953;Druk in zwart, blauw, groen en twee tinten bruin. Geannoteerd;-36400;29250;-34025;29250;-36400;27375;-34025;27375;491;10340;12921;10340;501;514;12935;530;B00000025273;13417;10849;zwart,blauw,groen,twee tinten bruin
42;42;C6;1942-1953;Druk in zwart en blauw;-34025;27375;-31650;27375;-34025;25500;-31650;25500;543;10324;13006;10306;542;502;13010;497;B00000025299;13482;10734;zwart,blauw
82;82;E6;1941-1946;Druk in zwart en blauw;-34025;23625;-31650;23625;-34025;21750;-31650;21750;468;10249;12922;10242;473;431;12909;432;B00000025338;13352;10622;zwart,blauw
90;90;E7;1942-1956;Druk in zwart en blauw;-31650;23625;-29275;23625;-31650;21750;-29275;21750;590;10307;13023;10289;579;477;13024;465;B00000025346;13497;10800;zwart,blauw
91;91;E8;1942;Druk in zwart en blauw;-29275;23625;-26900;23625;-29275;21750;-26900;21750;419;10277;12804;10307;459;452;12845;494;B00000025347;13255;10768;zwart,blauw
96;96;F4;1943;Druk in zwart. Geannoteerd;-38775;21750;-36400;21750;-38775;19875;-36400;19875;463;10264;12897;10255;464;449;12903;455;B00000025352;13336;10703;zwart
43;43;C6;1942-1953;Druk in zwart, blauw, groen en twee tinten bruin;-34025;27375;-31650;27375;-34025;25500;-31650;25500;535;10344;12983;10322;529;527;12990;522;B00000025300;13497;10832;zwart,blauw,groen,twee tinten bruin
98;98;F4;1943;Druk in zwart, blauw, groen en twee tinten bruin;-38775;21750;-36400;21750;-38775;19875;-36400;19875;471;10255;12884;10235;464;441;12879;432;B00000025354;13319;10735;zwart,blauw,groen,twee tinten bruin
102;102;F5;1942;Druk in zwart, blauw, groen en twee tinten bruin;-36400;21750;-34025;21750;-36400;19875;-34025;19875;475;10269;12888;10274;484;442;12894;461;B00000025358;13336;10768;zwart,blauw,groen,twee tinten bruin
103;103;F5;1942;Druk in zwart;-36400;21750;-34025;21750;-36400;19875;-34025;19875;521;10258;12967;10292;550;469;13006;515;B00000025359;13513;10783;zwart
104;104;F5;1954;Druk in zwart en blauw;-36400;21750;-34025;21750;-36400;19875;-34025;19875;497;10341;12958;10313;475;512;12941;496;B00000025360;13466;10734;zwart,blauw
